,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
425,448,https://www.zomato.com/bangalore/kapoors-cafe-jayanagar-bangalore/info,Kapoor's Cafe,3.4,"₹1,000 for two",north indian fast food street food desserts,Jayanagar,jayanagar,Jayanagar,"North Indian, Fast Food, Street Food, Desserts"
426,449,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/info,RNR Biryani - Taste Of 1953,4.2,₹700 for two,biryani south indian kebab desserts beverages,Jayanagar,jayanagar,Jayanagar,"Biryani, South Indian, Kebab, Desserts, Beverages"
427,450,https://www.zomato.com/bangalore/kfc-nagawara/info,KFC,3.8,₹400 for two,burger fast food biryani desserts beverages,"Embassy Manyata Business Park,  Nagawara",nagawara,Nagawara,"Burger, Fast Food, Biryani, Desserts, Beverages"
428,451,https://www.zomato.com/bangalore/ottoman-restobar-bellandur-bangalore/info,Ottoman Restobar,3.9,"₹1,100 for two",asian sushi north indian desserts,Bellandur,bellandur,Bellandur,"Asian, Sushi, North Indian, Desserts"
429,452,https://www.zomato.com/bangalore/cafe-petriqor-jp-nagar-bangalore/info,Cafe Petriqor,4.4,₹700 for two,asian continental coffee pizza pasta,JP Nagar,jpnagar,JP Nagar,"Asian, Continental, Coffee, Pizza, Pasta"
430,453,https://www.zomato.com/bangalore/casa-piccosa-jp-nagar/info,Casa Piccosa,4.0,"₹1,800 for two",bar food italian chinese mexican north indian seafood salad desserts,JP Nagar,jpnagar,JP Nagar,"Bar Food, Italian, Chinese, Mexican, North Indian, Seafood, Salad, Desserts"
431,454,https://www.zomato.com/bangalore/cafe-delhi-heights-brigade-road-bangalore/info,Cafe Delhi Heights,4.2,"₹1,500 for two",north indian oriental italian desserts beverages coffee sushi,Forum Rex Walk,ashoknagar,Ashok Nagar,"North Indian, Oriental, Italian, Desserts, Beverages, Coffee, Sushi"
432,455,https://www.zomato.com/bangalore/backyard-burgers-and-grill-indiranagar-bangalore/info,Backyard Burgers And Grill,4.1,₹400 for two,burger american wraps fast food salad,Indiranagar,indiranagar,Indiranagar,"Burger, American, Wraps, Fast Food, Salad"
433,456,https://www.zomato.com/bangalore/hyderabad-biryaani-house-since-2003-koramangala-5th-block-bangalore/info,Hyderabad Biryaani House - Since 2003,4.0,₹950 for two,biryani north indian chinese mughlai seafood beverages desserts,Koramangala 5th Block,koramangala,Koramangala,"Biryani, North Indian, Chinese, Mughlai, Seafood, Beverages, Desserts"
434,457,https://www.zomato.com/bangalore/hopshaus-whitefield-bangalore/info,Hopshaus,4.2,"₹2,000 for two",continental north indian chinese sichuan pizza asian finger food desserts,Whitefield,whitefield,Whitefield,"Continental, North Indian, Chinese, Sichuan, Pizza, Asian, Finger Food, Desserts"
435,458,https://www.zomato.com/bangalore/sanchez-lavelle-road/info,Sanchez,4.0,"₹2,500 for two",mexican beverages,UB City,ashoknagar,Ashok Nagar,"Mexican, Beverages"
436,461,https://www.zomato.com/bangalore/kampot-bellandur-bangalore/info,Kampot,New,"₹2,000 for two",vietnamese asian chinese desserts beverages salad,"RMZ Ecoworld, Bellandur",bellandur,Bellandur,"Vietnamese, Asian, Chinese, Desserts, Beverages, Salad"
437,462,https://www.zomato.com/bangalore/buff-buffet-buff-koramangala-5th-block/info,Buff Buffet Buff,4.4,"₹1,800 for two",south indian salad bar food north indian desserts beverages,"BluPetal Hotel, Koramangala",koramangala,Koramangala,"South Indian, Salad, Bar Food, North Indian, Desserts, Beverages"
438,463,https://www.zomato.com/bangalore/thai-basil-koramangala-1st-block-bangalore/info,Thai Basil,3.8,"₹1,400 for two",thai seafood salad beverages,Koramangala 1st Block,koramangala,Koramangala,"Thai, Seafood, Salad, Beverages"
439,464,https://www.zomato.com/bangalore/chutney-chang-church-street/info,Chutney Chang,3.9,"₹1,800 for two",chinese north indian momos,Church Street,churchstreet,Church Street,"Chinese, North Indian, Momos"
440,465,https://www.zomato.com/bangalore/pegs-n-bottles-premier-church-street-bangalore/info,Pegs N Bottles Premier,4.3,₹850 for two,bar food continental chinese pizza,Church Street,churchstreet,Church Street,"Bar Food, Continental, Chinese, Pizza"
441,466,https://www.zomato.com/TableForTous/info,Table For Tous,4.3,₹750 for two,desserts bakery coffee cafe,HSR,hsr,HSR,"Desserts, Bakery, Coffee, Cafe"
442,467,https://www.zomato.com/bangalore/le-kéne-1-hsr-bangalore/info,LE KÉNE,3.5,₹600 for two,cafe coffee fast food desserts,HSR,hsr,HSR,"Cafe, Coffee, Fast Food, Desserts"
443,468,https://www.zomato.com/bangalore/rajdhani-yelahanka-bangalore/info,Rajdhani,4.4,"₹1,200 for two",gujarati,Yelahanka,yelahanka,Yelahanka,Gujarati
444,469,https://www.zomato.com/bangalore/nandhana-palace-electronic-city-bangalore/info,Nandhana Palace,4.3,"₹1,400 for two",andhra biryani north indian chinese desserts ice cream beverages,Electronic City,electroniccity,Electronic City,"Andhra, Biryani, North Indian, Chinese, Desserts, Ice Cream, Beverages"
445,470,https://www.zomato.com/bangalore/casa-fresco-by-tea-brew-indiranagar-bangalore/info,Casa Fresco By Tea Brew,3.9,₹950 for two,american italian pasta steak chinese momos bubble tea beverages,Indiranagar,indiranagar,Indiranagar,"American, Italian, Pasta, Steak, Chinese, Momos, Bubble Tea, Beverages"
446,471,https://www.zomato.com/bangalore/mooch-marod-koramangala-6th-block-bangalore/info,Mooch Marod,4.3,₹600 for two,north indian beverages,Koramangala 6th Block,koramangala,Koramangala,"North Indian, Beverages"
447,472,https://www.zomato.com/bangalore/eden-park-cunningham-road/info,Eden Park,3.9,"₹1,300 for two",andhra biryani chinese north indian seafood south indian sichuan,Cunningham Road,cunninghamroad,Cunningham Road,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian, Sichuan"
448,473,https://www.zomato.com/bangalore/kenzai-brigade-road-bangalore/info,Kenzai,4.2,"₹1,700 for two",asian japanese chinese salad desserts beverages,"Garuda Mall, Magrath Road",ashoknagar,Ashok Nagar,"Asian, Japanese, Chinese, Salad, Desserts, Beverages"
449,474,https://www.zomato.com/bangalore/ganbeii-koramangala-5th-block-bangalore/info,Ganbeii,New,"₹1,000 for two",continental asian,Koramangala 5th Block,koramangala,Koramangala,"Continental, Asian"
450,475,https://www.zomato.com/bangalore/dyce-2-jayanagar-bangalore/info,DYCE,4.1,"₹1,200 for two",continental pizza mexican burger beverages,Jayanagar,jayanagar,Jayanagar,"Continental, Pizza, Mexican, Burger, Beverages"
451,476,https://www.zomato.com/bangalore/once-upon-a-rooftop-jayanagar/info,Once Upon a Rooftop,4.0,"₹1,400 for two",mexican italian chinese thai sichuan fast food desserts,Jayanagar,jayanagar,Jayanagar,"Mexican, Italian, Chinese, Thai, Sichuan, Fast Food, Desserts"
452,477,https://www.zomato.com/bangalore/lazy-suzy-indiranagar/info,Lazy Suzy,4.2,"₹1,200 for two",cafe continental italian pizza desserts beverages,Indiranagar,indiranagar,Indiranagar,"Cafe, Continental, Italian, Pizza, Desserts, Beverages"
453,479,https://www.zomato.com/bangalore/taiki-jp-nagar-bangalore/info,Taiki,4.0,₹700 for two,korean japanese sushi salad desserts tea beverages,JP Nagar,jpnagar,JP Nagar,"Korean, Japanese, Sushi, Salad, Desserts, Tea, Beverages"
454,480,https://www.zomato.com/bangalore/platform-65-rajarajeshwari-nagar-bangalore/info,Platform 65,3.5,"₹1,200 for two",south indian north indian biryani seafood mughlai chinese ice cream desserts,Rajarajeshwari Nagar,rajarajeshwarinagar,Rajarajeshwari Nagar,"South Indian, North Indian, Biryani, Seafood, Mughlai, Chinese, Ice Cream, Desserts"
455,481,https://www.zomato.com/bangalore/drinkology-gastro-pub-bannerghatta-road-bangalore/info,Drinkology Gastro Pub,4.0,"₹1,000 for two",biryani beverages,Bannerghatta Road,bannerghatta,Bannerghatta,"Biryani, Beverages"
456,482,https://www.zomato.com/bangalore/bearful-sarjapur-road-bangalore/info,Bearful,4.0,"₹1,100 for two",north indian mughlai continental chinese biryani kebab desserts beverages,Sarjapur Road,sarjapur,Sarjapur,"North Indian, Mughlai, Continental, Chinese, Biryani, Kebab, Desserts, Beverages"
457,483,https://www.zomato.com/bangalore/cafe-centralis-new-bel-road/info,Cafe Centralis,3.2,₹950 for two,cafe chinese italian sichuan,New BEL Road,newbelroad,New BEL Road,"Cafe, Chinese, Italian, Sichuan"
458,485,https://www.zomato.com/bangalore/klava-brigade-road-bangalore/info,Klava,3.5,₹800 for two,bakery desserts coffee shake,Forum Rex Walk,ashoknagar,Ashok Nagar,"Bakery, Desserts, Coffee, Shake"
459,486,https://www.zomato.com/bangalore/kaara-by-the-lake-ulsoor-bangalore/info,Kaara By The Lake,4.1,₹850 for two,italian desserts beverages,Ulsoor,ulsoor,Ulsoor,"Italian, Desserts, Beverages"
460,487,https://www.zomato.com/bangalore/nahdi-mandi-btm-bangalore/info,Nahdi Mandi,3.9,₹500 for two,mandi,BTM,btm,BTM,Mandi
461,488,https://www.zomato.com/bangalore/gourmet-by-biggies-burger-kalyan-nagar-bangalore/info,Gourmet By Biggies Burger,4.2,₹300 for two,american burger fast food beverages desserts,Kalyan Nagar,kalyannagar,Kalyan Nagar,"American, Burger, Fast Food, Beverages, Desserts"
462,489,https://www.zomato.com/bangalore/loka-greenpark-hotels-bannerghatta-road-bangalore/info,LOKA - Greenpark Hotels,4.2,"₹1,800 for two",south indian north indian chinese fast food asian desserts beverages,Bannerghatta Road,bannerghatta,Bannerghatta,"South Indian, North Indian, Chinese, Fast Food, Asian, Desserts, Beverages"
463,490,https://www.zomato.com/bangalore/bento-bento-indiranagar-bangalore/info,Bento Bento,4.1,"₹1,800 for two",asian thai beverages,Indiranagar,indiranagar,Indiranagar,"Asian, Thai, Beverages"
464,491,https://www.zomato.com/bangalore/elements-eatery-vasanth-nagar-bangalore/info,Elements Eatery,3.9,"₹1,300 for two",steak pizza burger continental desserts pasta,Vasanth Nagar,vasanthnagar,Vasanth Nagar,"Steak, Pizza, Burger, Continental, Desserts, Pasta"
465,492,https://www.zomato.com/bangalore/the-rajputana-1-brookefield-bangalore/info,The Rajputana,3.3,"₹1,000 for two",north indian gujarati desserts mithai beverages,Brookefield,brookefield,Brookefield,"North Indian, Gujarati, Desserts, Mithai, Beverages"
466,493,https://www.zomato.com/bangalore/golkonda-chimney-whitefield-bangalore/info,Golkonda Chimney,3.2,"₹1,200 for two",north indian mughlai chinese rolls seafood biryani desserts,Whitefield,whitefield,Whitefield,"North Indian, Mughlai, Chinese, Rolls, Seafood, Biryani, Desserts"
467,494,https://www.zomato.com/bangalore/cevi-hsr-bangalore/info,CEVI,4.5,"₹1,500 for two",north indian biryani seafood beverages desserts,HSR,hsr,HSR,"North Indian, Biryani, Seafood, Beverages, Desserts"
468,495,https://www.zomato.com/bangalore/glass-kitchen-bar-race-course-road-bangalore/info,Glass – Kitchen & Bar,4.4,"₹3,500 for two",modern indian north indian continental biryani bar food seafood desserts beverages,"Holiday Inn, Race Course Road.",racecourseroad,Race Course Road,"Modern Indian, North Indian, Continental, Biryani, Bar Food, Seafood, Desserts, Beverages"
469,496,https://www.zomato.com/bangalore/the-coffee-brewery-koramangala-4th-block-bangalore/info,The Coffee Brewery,3.9,₹800 for two,cafe coffee sandwich fast food desserts tea beverages,Koramangala 4th Block,koramangala,Koramangala,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages"
470,497,https://www.zomato.com/bangalore/gopizza-1-whitefield-bangalore/info,GOPIZZA,4.0,₹500 for two,pizza fast food,"Phoenix Marketcity Bangalore, Whitefield",whitefield,Whitefield,"Pizza, Fast Food"
471,498,https://www.zomato.com/bangalore/spice-it-ibis-hotel-hebbal-bangalore/info,Spice It - Ibis Hotel,3.7,"₹1,800 for two",north indian chinese italian continental pasta desserts beverages,Hebbal,hebbal,Hebbal,"North Indian, Chinese, Italian, Continental, Pasta, Desserts, Beverages"
472,499,https://www.zomato.com/bangalore/cafe-capriccio-3-old-madras-road-bangalore/info,Cafe Capriccio,4.1,₹800 for two,italian pasta pizza salad,"RMZ Infinity, Old Madras Road",oldmadrasroad,Old Madras Road,"Italian, Pasta, Pizza, Salad"
473,500,https://www.zomato.com/bangalore/12-degree-rooftop-pub-lounge-4-kanakapura-road-bangalore/info,12 Degree Rooftop & Pub Lounge,4.2,"₹1,500 for two",chinese north indian mughlai,Kanakapura Road,kanakapura,Kanakapura,"Chinese, North Indian, Mughlai"
