,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
260,272,https://www.zomato.com/bangalore/barley-broo-1-rajajinagar-bangalore/info,Barley Broo,New,"₹1,500 for two",north indian mughlai italian asian fast food seafood chinese biryani,Rajajinagar,malleshwaram,Malleshwaram,"North Indian, Mughlai, Italian, Asian, Fast Food, Seafood, Chinese, Biryani"
261,273,https://www.zomato.com/bangalore/cafe-noir-lavelle-road/info,Cafe Noir,4.1,"₹1,800 for two",italian continental french cafe pizza desserts juices beverages,UB City,ashoknagar,Ashok Nagar,"Italian, Continental, French, Cafe, Pizza, Desserts, Juices, Beverages"
262,274,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore/info,The Rameshwaram Cafe,4.2,₹200 for two,south indian beverages,Indiranagar,indiranagar,Indiranagar,"South Indian, Beverages"
263,275,https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info,Watson's,4.1,"₹1,600 for two",north indian continental italian european asian beverages desserts,Indiranagar,indiranagar,Indiranagar,"North Indian, Continental, Italian, European, Asian, Beverages, Desserts"
264,276,https://www.zomato.com/bangalore/the-pizza-bakery-jp-nagar-bangalore/info,The Pizza Bakery,4.3,"₹1,500 for two",pizza pasta italian continental desserts beverages,JP Nagar,jpnagar,JP Nagar,"Pizza, Pasta, Italian, Continental, Desserts, Beverages"
265,277,https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info,Travellers Bungalow,4.3,"₹1,400 for two",middle eastern european pizza finger food desserts beverages,Indiranagar,indiranagar,Indiranagar,"Middle Eastern, European, Pizza, Finger Food, Desserts, Beverages"
266,278,https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,Moplah's,4.5,"₹2,400 for two",kerala biryani seafood beverages ice cream desserts,Koramangala 5th Block,koramangala,Koramangala,"Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts"
267,279,https://www.zomato.com/LOFT38/info,LOFT38,4.2,"₹2,000 for two",italian bbq asian north indian fast food beverages,Indiranagar,indiranagar,Indiranagar,"Italian, BBQ, Asian, North Indian, Fast Food, Beverages"
268,280,https://www.zomato.com/bangalore/fat-owl-jp-nagar-bangalore/info,Fat Owl,4.2,"₹1,800 for two",north indian salad fast food chinese seafood pizza italian bar food,JP Nagar,jpnagar,JP Nagar,"North Indian, Salad, Fast Food, Chinese, Seafood, Pizza, Italian, Bar Food"
269,281,https://www.zomato.com/bangalore/copper-chimney-whitefield-bangalore/info,Copper Chimney,4.3,"₹1,700 for two",north indian mughlai biryani kebab beverages,"Phoenix Marketcity Bangalore, Whitefield",whitefield,Whitefield,"North Indian, Mughlai, Biryani, Kebab, Beverages"
270,282,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-sarjapur-road-bangalore/info,Chulha Chauki Da Dhaba,4.3,"₹1,000 for two",north indian chinese kebab mughlai biryani beverages,Sarjapur Road,sarjapur,Sarjapur,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages"
271,283,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,Rumi,4.0,"₹1,100 for two",awadhi mughlai north indian kebab desserts,Indiranagar,indiranagar,Indiranagar,"Awadhi, Mughlai, North Indian, Kebab, Desserts"
272,284,https://www.zomato.com/bangalore/kobe-sizzlers-koramangala-5th-block/info,Kobe Sizzlers,3.9,"₹1,600 for two",pasta burger sandwich american continental,Koramangala 5th Block,koramangala,Koramangala,"Pasta, Burger, Sandwich, American, Continental"
273,285,https://www.zomato.com/bangalore/olive-beach-richmond-road-bangalore/info,Olive Beach,4.5,"₹3,500 for two",italian pizza mediterranean continental european beverages desserts,Richmond Road,richmondroad,Richmond Road,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts"
274,286,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info,Rasotsav,4.3,"₹1,200 for two",rajasthani gujarati north indian mithai,"Forum Falcon City Mall, Kanakapura Roaad",kanakapura,Kanakapura,"Rajasthani, Gujarati, North Indian, Mithai"
275,288,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,Sidewalk Bar & Kitchen,4.3,"₹1,800 for two",north indian continental chinese fast food beverages,Marathahalli,marathahalli,Marathahalli,"North Indian, Continental, Chinese, Fast Food, Beverages"
276,289,https://www.zomato.com/bangalore/the-fatty-bao-indiranagar-bangalore/info,The Fatty Bao,4.5,"₹1,400 for two",asian sushi japanese chinese,Indiranagar,indiranagar,Indiranagar,"Asian, Sushi, Japanese, Chinese"
277,290,https://www.zomato.com/bangalore/linto-coffe-jp-nagar-bangalore/info,Linto Coffe,4.0,₹850 for two,coffee chinese continental,JP Nagar,jpnagar,JP Nagar,"Coffee, Chinese, Continental"
278,291,https://www.zomato.com/bangalore/the-caffeine-baar-jayanagar-bangalore/info,The Caffeine Baar,4.3,₹950 for two,cafe italian continental bakery desserts beverages,Jayanagar,jayanagar,Jayanagar,"Cafe, Italian, Continental, Bakery, Desserts, Beverages"
279,292,https://www.zomato.com/bangalore/truffles-koramangala-5th-block/info,Truffles,4.6,"₹1,100 for two",burger italian desserts continental american fast food beverages,Koramangala 5th Block,koramangala,Koramangala,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages"
280,293,https://www.zomato.com/bangalore/drunken-daddy-koramangala-5th-block-bangalore/info,Drunken Daddy,4.3,"₹1,400 for two",north indian continental fast food oriental finger food biryani beverages,Koramangala 5th Block,koramangala,Koramangala,"North Indian, Continental, Fast Food, Oriental, Finger Food, Biryani, Beverages"
281,294,https://www.zomato.com/bangalore/california-burrito-hsr/info,California Burrito,4.4,₹450 for two,mexican healthy food american salad fast food beverages,HSR,hsr,HSR,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages"
282,295,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/info,Nasi And Mee,4.5,"₹1,600 for two",asian sushi thai,Koramangala 4th Block,koramangala,Koramangala,"Asian, Sushi, Thai"
283,296,https://www.zomato.com/bangalore/pizzaexpress-indiranagar-bangalore/info,PizzaExpress,4.0,"₹1,400 for two",pizza italian salad bakery coffee beverages,Indiranagar,indiranagar,Indiranagar,"Pizza, Italian, Salad, Bakery, Coffee, Beverages"
284,297,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,Chowki Multicuisine Restaurant,4.2,₹700 for two,north indian chinese seafood fast food biryani sichuan desserts beverages,Whitefield,whitefield,Whitefield,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages"
285,299,https://www.zomato.com/bangalore/alchemy-residency-road-bangalore/info,Alchemy,4.3,"₹2,500 for two",bar food north indian seafood biryani desserts beverages,"The Chancery Pavilion, Residency Road",ashoknagar,Ashok Nagar,"Bar Food, North Indian, Seafood, Biryani, Desserts, Beverages"
286,300,https://www.zomato.com/bangalore/karigari-by-chef-harpal-singh-sahakara-nagar-bangalore/info,Karigari By Chef Harpal Singh,4.5,"₹1,000 for two",north indian mughlai fast food shake desserts beverages,Sahakara Nagar,sahakaranagar,Sahakara Nagar,"North Indian, Mughlai, Fast Food, Shake, Desserts, Beverages"
287,301,https://www.zomato.com/bangalore/nandos-whitefield-bangalore/info,Nando's,4.4,"₹1,500 for two",burger healthy food portuguese,"Phoenix Marketcity Bangalore, Whitefield",whitefield,Whitefield,"Burger, Healthy Food, Portuguese"
288,302,https://www.zomato.com/bangalore/kebapci-koramangala-6th-block-bangalore/info,Kebapci,4.2,"₹1,600 for two",bbq turkish kebab lebanese desserts,Koramangala 6th Block,koramangala,Koramangala,"BBQ, Turkish, Kebab, Lebanese, Desserts"
289,303,https://www.zomato.com/bangalore/reboot-the-pub-1-marathahalli-bangalore/info,Reboot The Pub,4.0,"₹1,200 for two",north indian chinese continental italian biryani mughlai desserts,Marathahalli,marathahalli,Marathahalli,"North Indian, Chinese, Continental, Italian, Biryani, Mughlai, Desserts"
290,304,https://www.zomato.com/bangalore/iris-cafe-kitchen-1-jp-nagar-bangalore/info,Iris Cafe & Kitchen,4.1,"₹1,200 for two",cafe coffee chinese continental modern indian pasta fast food desserts,JP Nagar,jpnagar,JP Nagar,"Cafe, Coffee, Chinese, Continental, Modern Indian, Pasta, Fast Food, Desserts"
291,305,https://www.zomato.com/bangalore/and-it-was-called-yellow-1-sahakara-nagar-bangalore/info,And It Was Called Yellow,4.6,"₹1,600 for two",north indian salad italian chinese seafood desserts beverages,Sahakara Nagar,sahakaranagar,Sahakara Nagar,"North Indian, Salad, Italian, Chinese, Seafood, Desserts, Beverages"
292,306,https://www.zomato.com/bangalore/tree-tops-bar-kitchen-lavelle-road-bangalore/info,Tree Tops Bar & Kitchen,4.2,"₹1,300 for two",finger food north indian chinese burger seafood desserts,"Hotel Southern Star, Lavelle Road",lavelleroad,Lavelle Road,"Finger Food, North Indian, Chinese, Burger, Seafood, Desserts"
293,307,https://www.zomato.com/bangalore/2443-the-oterra-electronic-city/info,24@43 - The Oterra,4.1,"₹3,700 for two",north indian asian continental fast food biryani desserts,"The Oterra, Hosur Road",hosurroad,Hosur Road,"North Indian, Asian, Continental, Fast Food, Biryani, Desserts"
294,308,https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info,The Creek - The Den Bengaluru,4.2,"₹3,000 for two",north indian south indian asian pizza desserts,"The Den, Whitefield",whitefield,Whitefield,"North Indian, South Indian, Asian, Pizza, Desserts"
295,309,https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info,Moglu - The Edgy Veggie Restaurant,New,"₹1,000 for two",american continental desserts beverages,St. Marks Road,st.marksroad,St. Marks Road,"American, Continental, Desserts, Beverages"
296,310,https://www.zomato.com/bangalore/gufha-the-president-hotel-jayanagar/info,Gufha - The President Hotel,4.1,"₹1,400 for two",north indian mughlai biryani beverages,"The President Hotel, Jayanagar",jayanagar,Jayanagar,"North Indian, Mughlai, Biryani, Beverages"
297,311,https://www.zomato.com/bangalore/plaka-by-chef-ajay-chopra-sahakara-nagar-bangalore/info,Plaka By Chef Ajay Chopra,New,"₹1,800 for two",italian north indian mediterranean pizza continental asian coffee,"Phoenix Mall of Asia, Hebbal, Bengaluru",hebbal,Hebbal,"Italian, North Indian, Mediterranean, Pizza, Continental, Asian, Coffee"
298,312,https://www.zomato.com/bangalore/hsr-high-street-hsr/info,HSR High Street,3.9,₹950 for two,chinese oriental north indian mughlai biryani seafood desserts,HSR,hsr,HSR,"Chinese, Oriental, North Indian, Mughlai, Biryani, Seafood, Desserts"
299,313,https://www.zomato.com/bangalore/suzy-q-cunningham-road-bangalore/info,Suzy Q,4.3,"₹2,300 for two",north indian seafood continental asian chinese desserts beverages,Cunningham Road,cunninghamroad,Cunningham Road,"North Indian, Seafood, Continental, Asian, Chinese, Desserts, Beverages"
300,314,https://www.zomato.com/bangalore/barbeque-nation-electronic-city/info,Barbeque Nation,4.3,"₹1,900 for two",north indian bbq biryani kebab continental chinese beverages desserts,Electronic City,electroniccity,Electronic City,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts"
301,315,https://www.zomato.com/bangalore/theo-cafe-3-hennur-bangalore/info,Theo Cafe,4.3,"₹1,000 for two",continental asian coffee japanese italian desserts beverages,Hennur,hennur,Hennur,"Continental, Asian, Coffee, Japanese, Italian, Desserts, Beverages"
302,316,https://www.zomato.com/bangalore/lush-renaissance-hotel-race-course-road-bangalore/info,Lush - Renaissance Hotel,4.4,"₹3,500 for two",north indian continental chinese fast food,"Renaissance Hotel, Race Course Road",racecourseroad,Race Course Road,"North Indian, Continental, Chinese, Fast Food"
303,317,https://www.zomato.com/bangalore/broadway-the-gourmet-theatre-hsr/info,Broadway - The Gourmet Theatre,4.3,"₹2,000 for two",chinese north indian mughlai biryani asian japanese sushi beverages,HSR,hsr,HSR,"Chinese, North Indian, Mughlai, Biryani, Asian, Japanese, Sushi, Beverages"
304,318,https://www.zomato.com/bangalore/parika-multicuisine-coastal-fine-dine-hsr/info,Parika Multicuisine & Coastal Fine Dine,4.3,"₹1,300 for two",mangalorean seafood north indian asian chinese south indian desserts beverages,HSR,hsr,HSR,"Mangalorean, Seafood, North Indian, Asian, Chinese, South Indian, Desserts, Beverages"
