,links,names,ratings,price for two,cuisine,Location
208,https://www.zomato.com/bangalore/lono-indiranagar-bangalore/info,Lono,4.2,"₹1,700 for two","Chinese, Italian, Continental, North Indian, Seafood, Pizza, Pasta, Fast Food",Indiranagar
209,https://www.zomato.com/bangalore/flyover-drinkery-hebbal-bangalore/info,Flyover Drinkery,4.4,"₹1,800 for two","Bar Food, Continental, Oriental, Asian, Pasta, North Indian, South Indian, Desserts","Esteem Mall, Hebbal"
210,https://www.zomato.com/bangalore/1947-rajarajeshwari-nagar/info,1947,3.6,"₹1,200 for two","North Indian, Desserts, Beverages",Rajarajeshwari Nagar
211,https://www.zomato.com/bangalore/rooftop-at-raw-koramangala-5th-block-bangalore/info,Rooftop at Raw,4.0,"₹1,200 for two","Continental, Italian, Mexican, Pizza, Pasta, Beverages",Koramangala 5th Block
212,https://www.zomato.com/bangalore/pasta-street-jp-nagar-bangalore/info,Pasta Street,4.4,"₹1,800 for two","Pasta, Pizza, Italian, Salad, Desserts, Beverages",JP Nagar
213,https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info,Jamavar - The Leela Palace,4.3,"₹5,000 for two","North Indian, South Indian","The Leela Palace, Old Airport Road"
214,https://www.zomato.com/bangalore/quattro-the-leela-bhartiya-city-bengaluru-jakkur-bangalore/info,Quattro - The Leela Bhartiya City Bengaluru,4.2,"₹3,500 for two","North Indian, Mediterranean, European",The Leela - Bhartiya City
215,https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore/info,Barbecue By Punjab Grill,4.3,"₹1,600 for two","BBQ, Mughlai, North Indian, Salad, Desserts","Mantri Square, Malleshwaram"
216,https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info,LUPA,3.8,"₹5,000 for two","Mediterranean, European, Italian, Salad, Desserts, Beverages",MG Road
217,https://www.zomato.com/bangalore/tiamo-conrad-bengaluru-ulsoor/info,Tiamo - Conrad Bengaluru,4.0,"₹3,000 for two","Italian, Mediterranean, Fast Food","Conrad Bengaluru, Ulsoor"
218,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info,Hakuna Matata,4.5,"₹1,700 for two","North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",JP Nagar
219,https://www.zomato.com/bangalore/slay-coffee-bar-koramangala-5th-block-bangalore/info,Slay Coffee Bar,4.3,₹600 for two,"Cafe, Coffee, Beverages, Fast Food",Koramangala 5th Block
220,https://www.zomato.com/bangalore/down-town-tap-room-1-brigade-road-bangalore/info,Down Town Tap Room,4.6,"₹1,700 for two","Continental, Pizza, Burger, Fast Food, Biryani, Desserts, Bar Food, Beverages",Brigade Road
221,https://www.zomato.com/bangalore/neon-market-indiranagar-bangalore/info,Neon Market,New,"₹1,000 for two","Cafe, Coffee, Japanese, Tea, Beverages",Indiranagar
222,https://www.zomato.com/bangalore/mainland-china-church-street/info,Mainland China,4.4,"₹2,000 for two","Chinese, Sushi, Seafood, Asian, Japanese, Beverages",Church Street
223,https://www.zomato.com/bangalore/fias-lounge-richmond-road-bangalore/info,Fia's Lounge,4.2,"₹1,500 for two","Parsi, Lebanese, Beverages",Richmond Road
224,https://www.zomato.com/bangalore/öz-by-kebapci-lavelle-road-bangalore/info,Öz by Kebapci,4.6,"₹1,800 for two","Turkish, Mediterranean, Middle Eastern",UB City
225,https://www.zomato.com/bangalore/the-kind-roastery-brew-room-jp-nagar-bangalore/info,The Kind Roastery & Brew Room,4.5,₹500 for two,"Cafe, Coffee, Desserts, Asian, Pizza, Tea, Beverages, Pasta",JP Nagar
226,https://www.zomato.com/bangalore/kazé-1-lavelle-road-bangalore/info,Kazé,4.5,"₹3,500 for two","Japanese, Sushi, Thai, Asian",Lavelle Road
227,https://www.zomato.com/bangalore/kyba-sushi-dim-sums-more-sahakara-nagar-bangalore/info,Kyba- Sushi Dim Sums & More,4.7,"₹1,400 for two","Chinese, Thai, Sushi, Japanese, Asian, Seafood, Desserts",Sahakara Nagar
228,https://www.zomato.com/bangalore/the-kabab-studio-goldfinch-hotel-seshadripuram-bangalore/info,The Kabab Studio - Goldfinch Hotel,4.1,"₹1,800 for two","North Indian, Chinese, Continental, South Indian, Oriental, Italian, Kebab","Goldfinch Hotel, Seshadripuram"
229,https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore/info,Lucky Chan - Dimsum & Sushi Parlour,4.5,"₹1,900 for two","Japanese, Chinese, Asian, Desserts, Beverages",Indiranagar
230,https://www.zomato.com/bangalore/oota-bangalore-whitefield/info,Oota Bangalore,4.9,"₹1,200 for two","Mangalorean, South Indian, Salad, Desserts",Craftworks
231,https://www.zomato.com/bangalore/dock-66-1-whitefield-bangalore/info,Dock 66,4.2,"₹1,800 for two","North Indian, South Indian",Whitefield
232,https://www.zomato.com/bangalore/the-spiceberry-bellandur-bangalore/info,The Spiceberry,4.4,"₹1,000 for two","North Indian, Pasta, Pizza, Continental, Salad, Sandwich, Kebab, Desserts",Bellandur
233,https://www.zomato.com/bangalore/hungry-hippie-koramangala-5th-block/info,Hungry Hippie,4.2,"₹1,200 for two","North Indian, Italian, Continental, Mexican, Pizza, Fast Food, Desserts, Beverages",Koramangala 5th Block
234,https://www.zomato.com/bangalore/rajdhani-1-whitefield-bangalore/info,Rajdhani,4.0,"₹1,200 for two","Gujarati, North Indian, Rajasthani","Phoenix Marketcity Bangalore, Whitefield"
235,https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info,Chapter One Bar | Maiin,4.3,"₹1,400 for two","North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages",New BEL Road
236,https://www.zomato.com/bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info,Poco A Poco - Global Food & Music,4.5,"₹1,000 for two","Continental, Chinese, North Indian, Italian, Cafe, Asian, South Indian, Beverages",Whitefield
237,https://www.zomato.com/bangalore/white-lotus-club-sarjapur-road-bangalore/info,White Lotus Club,3.9,"₹2,000 for two","Continental, North Indian, Chinese, Italian, Asian, Beverages",Sarjapur Road
238,https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info,Bob's Bar,4.2,"₹1,400 for two","South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages",Indiranagar
239,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/info,Bombay Brasserie,4.5,"₹2,000 for two","North Indian, Biryani, Fast Food, Desserts, Tea",Indiranagar
240,https://www.zomato.com/bangalore/46-ounces-brewgarden-electronic-city-bangalore/info,46 Ounces Brewgarden,4.3,"₹1,900 for two","Finger Food, Asian, Chinese, Pizza, North Indian, Fast Food",Electronic City
241,https://www.zomato.com/bangalore/sugar-factory-reloaded-koramangala-5th-block-bangalore/info,Sugar Factory Reloaded,4.0,"₹1,800 for two","North Indian, Continental, Italian, Chinese, Asian, American",Koramangala 5th Block
242,https://www.zomato.com/bangalore/caffé-allora-kr-puram-bangalore/info,Caffé Allora,4.3,"₹1,500 for two","Pizza, Italian, Pasta","Phoenix Marketcity Bangalore, Whitefield"
243,https://www.zomato.com/bangalore/easy-tiger-church-street/info,Easy Tiger,4.2,"₹1,700 for two","Finger Food, Continental",Church Street
244,https://www.zomato.com/bangalore/yauatcha-mg-road/info,Yauatcha,4.4,"₹3,000 for two","Chinese, Asian, Cantonese, Seafood, Tea, Desserts","1 MG Road Mall, MG Road"
245,https://www.zomato.com/bangalore/chin-lung-resto-bar-koramangala-4th-block-bangalore/info,Chin Lung Resto Bar,4.1,"₹1,400 for two","Bar Food, Chinese, North Indian",Koramangala 4th Block
246,https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,Mannheim Craft Brewery,4.4,"₹1,500 for two","South Indian, North Indian, Continental, Desserts, Asian","Garuda Mall, Magrath Road"
247,https://www.zomato.com/bangalore/the-market-the-ritz-carlton-residency-road/info,The Market - The Ritz-Carlton,4.1,"₹3,000 for two","North Indian, European, Asian",The Ritz-Carlton
248,https://www.zomato.com/bangalore/melange-marathahalli-bangalore/info,Melange,4.0,"₹3,500 for two","North Indian, South Indian, Continental, Italian, Desserts","Radisson Blu, Marathahalli"
249,https://www.zomato.com/bangalore/zest-lavelle-road-bangalore/info,Zest,4.1,"₹1,800 for two","North Indian, Mughlai, Kebab, Chinese, Continental, Desserts",Lavelle Road
250,https://www.zomato.com/bangalore/animal-bar-koramangala-1st-block-bangalore/info,Animal Bar,3.9,"₹1,000 for two","American, Continental, Italian, South Indian, North Indian, Asian, Chinese",Koramangala 1st Block
251,https://www.zomato.com/bangalore/boteco-restaurante-brasileiro-1-mg-road-bangalore/info,Boteco Restaurante Brasileiro,4.2,"₹3,500 for two","Brazilian, Steak, Salad, Finger Food, Desserts, Coffee, Beverages",MG Road
252,https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info,Kappa Chakka Kandhari,4.3,"₹1,800 for two","Kerala, South Indian, Desserts, Beverages",Koramangala 6th Block
253,https://www.zomato.com/bangalore/46-ounces-old-madras-road-bangalore/info,46 Ounces,4.4,"₹1,200 for two","North Indian, Asian, Italian, Pizza, Desserts","RMZ Infinity, Old Madras Road"
254,https://www.zomato.com/bangalore/smooth-criminal-koramangala-5th-block-bangalore/info,Smooth Criminal,3.8,"₹1,000 for two","Chinese, North Indian, Pizza, Japanese, Biryani, Desserts, Beverages, Continental",Koramangala 5th Block
255,https://www.zomato.com/bangalore/gabru-di-chaap-kr-puram-bangalore/info,Gabru Di Chaap,4.1,₹500 for two,"North Indian, Momos, Fast Food, Wraps, Beverages","Phoenix Marketcity Bangalore, Whitefield"
256,https://www.zomato.com/bangalore/hoppipola-church-street/info,Hoppipola,4.1,"₹2,000 for two","Continental, Italian, Chinese, North Indian, Pizza, Beverages",Church Street
257,https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info,Secret Of Bangalore,4.1,"₹1,600 for two","Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",Rajarajeshwari Nagar
258,https://www.zomato.com/bangalore/yellow-door-the-neighbourhood-kitchen-1-koramangala-5th-block-bangalore/info,Yellow Door - The Neighbourhood Kitchen,4.3,"₹1,100 for two","North Indian, Asian, Italian, Fast Food",Koramangala 5th Block
259,https://www.zomato.com/bangalore/maya-1-jayanagar-bangalore/info,Maya,4.3,"₹1,800 for two","Asian, North Indian, Chinese, Thai, Beverages",Jayanagar
260,https://www.zomato.com/bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info,Xochi Bar And Kitchen,4.5,"₹2,500 for two","Asian, North Indian, Continental",Bellandur
261,https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info,The Big Baadshaah,4.3,"₹1,900 for two","Continental, Chinese, Asian, North Indian, Fast Food, Street Food, Desserts, Beverages",Marathahalli
262,https://www.zomato.com/bangalore/sanadige-goldfinch-hotel-seshadripuram/info,Sanadige - Goldfinch Hotel,4.2,"₹1,800 for two","Seafood, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Beverages","Goldfinch Hotel, Seshadripuram"
263,https://www.zomato.com/bangalore/itasian-jakkur-bangalore/info,Itasian,4.2,"₹1,000 for two","Italian, Asian, Chinese, Sushi, Burger, Fast Food, Desserts, Beverages",Jakkur
264,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-koramangala-5th-block-bangalore/info,Tuk Tuk Thai - Pure Veg Asian Fine Dine,4.8,"₹2,000 for two","Thai, Asian, Chinese, Desserts, Beverages",Koramangala 5th Block
265,https://www.zomato.com/bangalore/delhi-highway-indiranagar/info,Delhi Highway,4.1,"₹1,800 for two","North Indian, Chinese, Street Food, Kebab, Desserts, Beverages",Indiranagar
266,https://www.zomato.com/bangalore/mahe-global-kitchen-koramangala-5th-block-bangalore/info,Mahe Global Kitchen,4.2,"₹1,400 for two","North Indian, Continental, Asian, Pizza, Chinese, Desserts, Shake, Beverages",Koramangala 5th Block
267,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,Celeb’s Restobar,4.3,"₹1,300 for two",Bar Food,Brookefield
268,https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block/info,Indigo XP,4.0,"₹2,000 for two","North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",Koramangala 5th Block
269,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-jp-nagar-bangalore/info,Paradise Biryani - A Legend Since 1953,3.7,"₹1,100 for two","Biryani, Kebab, North Indian, Rolls, Chinese, Desserts",JP Nagar
270,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore/info,Smoor,4.5,₹600 for two,"Bakery, Desserts, Beverages",Indiranagar
271,https://www.zomato.com/bangalore/f5-hilton-embassy-manyata-business-park-nagawara-bangalore/info,F5 - Hilton Embassy Manyata Business Park,4.3,"₹3,100 for two","North Indian, Continental, Pizza, Fast Food, Coffee, Tea, Desserts, Beverages",Hilton Garden Inn Bengaluru Embassy Manyata Business Park
272,https://www.zomato.com/bangalore/barley-broo-1-rajajinagar-bangalore/info,Barley Broo,New,"₹1,500 for two","North Indian, Mughlai, Italian, Asian, Fast Food, Seafood, Chinese, Biryani",Rajajinagar
273,https://www.zomato.com/bangalore/cafe-noir-lavelle-road/info,Cafe Noir,4.1,"₹1,800 for two","Italian, Continental, French, Cafe, Pizza, Desserts, Juices, Beverages",UB City
274,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore/info,The Rameshwaram Cafe,4.2,₹200 for two,"South Indian, Beverages",Indiranagar
275,https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info,Watson's,4.1,"₹1,600 for two","North Indian, Continental, Italian, European, Asian, Beverages, Desserts",Indiranagar
276,https://www.zomato.com/bangalore/the-pizza-bakery-jp-nagar-bangalore/info,The Pizza Bakery,4.3,"₹1,500 for two","Pizza, Pasta, Italian, Continental, Desserts, Beverages",JP Nagar
